party_name,vote_share,election_date,country_name_short,parlgov_id,party_id,country_name
Freiheitliche Partei Österreichs,0.288459206928359,2024-09-29,AUT,50,AT11,Austria
Kommunistische Partei Österreichs Plus,0.0239389066470499,2024-09-29,AUT,AT5,AT5,Austria
Nieuw-Vlaamse Alliantie,0.167083279288225,2024-06-09,BEL,501,BE48,Belgium
Partij van de Arbeid – Parti du Travail,0.0985509325393928,2024-06-09,BEL,256,BE24,Belgium
Vlaams Belang,0.137668423884301,2024-06-09,BEL,993,BE29,Belgium
Ataka,0.00157399045284479,2024-10-27,BGR,535,BG33,Bulgaria
Balgarska Sotsialisticheska Partiya,0.03017,2026-04-19,BGR,982,NA,Bulgaria
Grazhdani za Evropeysko Razvitie na Bulgariya,0.13387,2026-04-19,BGR,1541,NA,Bulgaria
Ima Takav Narod,0.0394079128902851,2023-04-02,BGR,2836,BG39,Bulgaria
Ima Takav Narod,0.0655637485981958,2024-10-27,BGR,2836,BG39,Bulgaria
Ima Takav Narod,0.0736,2026-04-19,BGR,2836,NA,Bulgaria
MECh,0.0444468703790082,2024-10-27,BGR,BG45,BG45,Bulgaria
Natsionalno Dvizhenie za Stabilnost i Vazhod,0.00256374491723546,2023-04-02,BGR,544,BG9,Bulgaria
Vazrazhdane,0.1357579497318,2023-04-02,BGR,2640,BG40,Bulgaria
Vazrazhdane,0.129200599426377,2024-10-27,BGR,2640,BG40,Bulgaria
Vazrazhdane,0.04257,2026-04-19,BGR,2640,NA,Bulgaria
Velichie,0.0386800710578288,2024-10-27,BGR,BG44,BG44,Bulgaria
Velichie,0.03104,2026-04-19,BGR,BG44,NA,Bulgaria
others,0,2026-04-19,BGR,NA,NA,Bulgaria
Левицата!,0.0214078765036038,2023-04-02,BGR,BG623,BG623,Bulgaria
Прогресивна България,0.44594,2026-04-19,BGR,NA,NA,Bulgaria
Eidgenössisch-Demokratische Union,0.0123363562553974,2023-10-22,CHE,1318,CH24,Switzerland
Lega dei Ticinesi,0.00554319819047462,2023-10-22,CHE,1500,CH23,Switzerland
Mouvement Citoyens Genevois,0.0050965322910868,2023-10-22,CHE,2599,CH30,Switzerland
Partei der Arbeit der Schweiz,0.00721672730518359,2023-10-22,CHE,1167,CH9,Switzerland
Schweizer Demokraten,7.9468166148753e-4,2023-10-22,CHE,628,CH14,Switzerland
Schweizerische Volkspartei,0.27930163532176,2023-10-22,CHE,750,CH6,Switzerland
Akce nespokojených obcanu,0.345180484894562,2025-10-04,CZE,2263,CZ22,Czech Republic
Motoristé Sobe,0.0677019138458944,2025-10-04,CZE,CZ29,CZ29,Czech Republic
Prisaha,0.0107,2025-10-04,CZE,2831,NA,Czech Republic
Svoboda a prímá demokracie,0.0778429437127483,2025-10-04,CZE,2654,CZ25,Czech Republic
Volný Blok,0.0018,2025-10-04,CZE,2854,NA,Czech Republic
Alternative für Deutschland,0.208033867482927,2025-02-23,DEU,2253,DE61,Germany
Bündnis Sahra Wagenknecht,0.049808082705828,2025-02-23,DEU,DE62,DE62,Germany
PDS / Die Linke,0.0877457164130838,2025-02-23,DEU,791,DE3,Germany
Borgernes Parti,0.021,2026-03-26,DNK,NA,NA,Denmark
Danmarksdemokraterne,0.058,2026-03-26,DNK,DK32,NA,Denmark
Dansk Folkeparti,0.091,2026-03-26,DNK,1418,NA,Denmark
Enhedslisten – De Rød-Grønne,0.063,2026-03-26,DNK,306,NA,Denmark
Socialistisk Folkeparti,0.116,2026-03-26,DNK,1644,NA,Denmark
others,0,2026-03-26,DNK,NA,NA,Denmark
Bloque Nacionalista Galego,0.00628874082008006,2023-07-23,ESP,520,ES74,Spain
Candidatura d'Unitat Popular,0.00406919244310567,2023-07-23,ESP,2792,ES78,Spain
Euskal Herria Bildu,0.0136857652670061,2023-07-23,ESP,2603,ES608,Spain
Izquierda Unida,0.0200563598547717,2023-07-23,ESP,118,ES629,Spain
Podemos,0.0160450878838173,2023-07-23,ESP,2376,ES63,Spain
Sumar,0.00802254394190867,2023-07-23,ESP,ES880,ES880,Spain
Vox,0.124839642111658,2023-07-23,ESP,2380,ES75,Spain
Eesti Keskerakond,0.152800512535659,2023-03-05,EST,1137,EE3,Estonia
Eesti Konservatiivne Rahvaerakond,0.160521318239093,2023-03-05,EST,417,EE8,Estonia
Demokraattinen Liitto | Vasemmistoliitto,0.0705613508704602,2023-04-02,FIN,1292,FI23,Finland
Liike Nyt,0.0242262899259724,2023-04-02,FIN,2801,FI28,Finland
Suomen Maaseudun Puolue | Perussuomalaiset,0.200600916654714,2023-04-02,FIN,200,FI17,Finland
Front National / Rassemblement National,0.292566841306676,2024-06-30,FRA,270,FR29,France
Les Républicains,0.0656987194376084,2024-06-30,FRA,FR33,FR33,France
Reconquete,0.00745319116826761,2024-06-30,FRA,FR80,FR80,France
Brexit Party / Reform,0.142926217678017,2024-07-04,GBR,2729,GB45,United Kingdom
Democratic Unionist Party,0.00597229926128124,2024-07-04,GBR,319,GB24,United Kingdom
United Kingdom Independence Party,2.2666260316966e-4,2024-07-04,GBR,1272,GB31,United Kingdom
Elliniki Lisi,0.0443876916103234,2023-06-25,GRC,2780,GR72,Greece
European Realistic Disobedience Front,0.0249995829503987,2023-06-25,GRC,2742,GR73,Greece
Kommounistikó Kómma Elládas,0.0769334755073001,2023-06-25,GRC,614,GR4,Greece
Synaspismós Rizospastikís Aristerás,0.178327149813996,2023-06-25,GRC,1592,GR600,Greece
"Δημοκρατικό Πατριωτικό Κίνημα ""ΝΙΚΗ""",0.0370309366435503,2023-06-25,GRC,GR74,GR74,Greece
Πλεύση Ελευθερίας - Ζωή Κωνσταντοπούλου,0.0317385292664318,2023-06-25,GRC,GR75,GR75,Greece
Σπαρτιάτες,0.0467712978602767,2023-06-25,GRC,GR76,GR76,Greece
Blok za Hrvatsku,0.00682747774688991,2024-04-17,HRV,HR54,HR54,Croatia
Domovinski Pokret,0.0887572107095688,2024-04-17,HRV,2809,HR47,Croatia
Hrvatska Demokratska Zajednica,0.31597687206168,2024-04-17,HRV,276,HR1,Croatia
Hrvatska Stranka Prava Dr. Ante Starcevic,4.1588491775899e-4,2024-04-17,HRV,HR29,HR29,Croatia
Hrvatski Suverenisti,0.0145733756751218,2024-04-17,HRV,HR57,HR57,Croatia
Hrvatski laburisti – Stranka rada,0,2024-04-17,HRV,2182,HR25,Croatia
Most,0.065580190538048,2024-04-17,HRV,2615,HR30,Croatia
Mozemo!,0.0910283438302624,2024-04-17,HRV,2810,HR49,Croatia
Pravo i Pravda,0,2024-04-17,HRV,HR56,HR56,Croatia
Radnička Fronta,0.0079541526957783,2024-04-17,HRV,HR44,HR44,Croatia
Fidesz,0.3861,2026-04-12,HUN,921,NA,Hungary
Mi Hazánk Mozgalom,0.0563,2026-04-12,HUN,2745,NA,Hungary
others,0,2026-04-12,HUN,NA,NA,Hungary
Independent Ireland,0.0355403563479646,2024-11-29,IRL,IE43,IE43,Ireland
Sinn Féin,0.190072982228006,2024-11-29,IRL,2217,IE6,Ireland
Flokkur fólksins,0.137845342871935,2024-11-30,ISL,2632,IS45,Iceland
Framsóknarflokkurinn,0.0780298395067539,2024-11-30,ISL,1455,IS8,Iceland
Miðflokkurinn,0.120953546383019,2024-11-30,ISL,2655,IS44,Iceland
Nacionalinis susivienijimas,0.0292699312616237,2024-10-27,LTU,LT38,LT38,Lithuania
Nemuno Aušra,0.152637702057236,2024-10-27,LTU,LT39,LT39,Lithuania
Alternativ Demokratesch Reformpartei,0.0895376582059617,2023-10-08,LUX,1582,LU24,Luxembourg
Déi Lénk,0.0339667335223736,2023-10-08,LUX,457,LU29,Luxembourg
Kommunistesch Partei Lëtzebuerg,0.00504875855868317,2023-10-08,LUX,151,LU7,Luxembourg
BoerBurgerBeweging,0.0465414292152856,2023-11-22,NLD,2824,NL59,Netherlands
BoerBurgerBeweging,0.026477134390025,2025-10-29,NLD,2824,NL59,Netherlands
Forum voor Democratie,0.0223301588798717,2023-11-22,NLD,2642,NL56,Netherlands
Forum voor Democratie,0.045440167839735,2025-10-29,NLD,2642,NL56,Netherlands
Juiste Antwoord 21,0.00683861894500176,2023-11-22,NLD,2823,NL58,Netherlands
Juiste Antwoord 21,0.059451153472525,2025-10-29,NLD,2823,NL58,Netherlands
Partij voor de Vrijheid,0.234921346057219,2023-11-22,NLD,1501,NL53,Netherlands
Partij voor de Vrijheid,0.166569018699412,2025-10-29,NLD,1501,NL53,Netherlands
Socialistiese Partij,0.0314612895539029,2023-11-22,NLD,357,NL42,Netherlands
Socialistiese Partij,0.0188786595522697,2025-10-29,NLD,357,NL42,Netherlands
Fremskrittspartiet,0.23848748776355,2025-09-08,NOR,351,NO15,Norway
Rødt,0.0532136521518761,2025-09-08,NOR,1638,NO20,Norway
Senterpartiet,0.0559007021362234,2025-09-08,NOR,NO7,NO7,Norway
Sosialistisk Venstreparti,0.0562727647669733,2025-09-08,NOR,81,NO14,Norway
Konfederacja Odnowy Rzeczypospolitej Wolnosc i Nadzieja,0.0373935369216026,2023-10-15,POL,2602,PL40,Poland
Konfederacja Wolność i Niepodległość,0.015800052106811,2023-10-15,POL,PL61,PL61,Poland
Kukiz'15,0.00347127128115422,2023-10-15,POL,2600,PL43,Poland
Nowa Nadzieja,0.0373935369216026,2023-10-15,POL,PL40,PL40,Poland
Prawo i Sprawiedliwosc,0.324231899204348,2023-10-15,POL,528,PL28,Poland
Razem,0.0210117520030697,2023-10-15,POL,2625,PL45,Poland
Ruch Narodowy,0.00922237762470926,2023-10-15,POL,2398,PL38,Poland
Bloco de Esquerda,0.0455734078872793,2024-03-10,PRT,557,PT33,Portugal
Bloco de Esquerda,0.0207627224238491,2025-05-18,PRT,557,PT33,Portugal
Chega,0.188835504621767,2024-03-10,PRT,2789,PT41,Portugal
Chega,0.237411749600327,2025-05-18,PRT,2789,PT41,Portugal
Partido Comunista Português,0.0331817039347611,2024-03-10,PRT,514,PT2,Portugal
Alianța pentru Unirea Românilor,0.180139297923838,2024-12-01,ROU,2807,RO45,Romania
Partidul Național Conservator Român,0.00494253292614891,2024-12-01,ROU,RO49,RO49,Romania
Partidul Oamenilor Tineri,0.0645573535363392,2024-12-01,ROU,RO48,RO48,Romania
S.O.S Romǎnia,0.073560515818388,2024-12-01,ROU,RO47,RO47,Romania
Hnutie Slovensko,0.0667485484666579,2023-09-30,SVK,1759,SK25,Slovakia
Komunistická Strana Slovenska,0.00332457741106831,2023-09-30,SVK,44,SK16,Slovakia
Kotlebovci – Ludová Strana Naše Slovensko,0.00842448657230577,2023-09-30,SVK,586,SK28,Slovakia
Pravá Slovenská Národná Strana,0.0562671333496861,2023-09-30,SVK,20,SK4,Slovakia
Slovenská Národná Strana,0.0562671333496861,2023-09-30,SVK,1072,SK4,Slovakia
Sme Rodina,0.0221277969308898,2023-09-30,SVK,2623,SK30,Slovakia
Smer – Slovenská Sociálna Demokracia,0.229461207535574,2023-09-30,SVK,220,SK14,Slovakia
Levica,0.0569,2026-03-22,SVN,2670,NA,Slovenia
Nova Slovenija – Krščanski Demokrati,0.0926,2026-03-22,SVN,1047,NA,Slovenia
Resni.ca,0.0549,2026-03-22,SVN,NA,NA,Slovenia
Slovenska Demokratska Stranka,0.2788,2026-03-22,SVN,179,NA,Slovenia
Slovenska Nacionalna Stranka,0.0224,2026-03-22,SVN,981,NA,Slovenia
others,0,2026-03-22,SVN,NA,NA,Slovenia
